res_id,cell_center,walk_time
burrito-king-urbana,"40.1140720333,-88.2007666162",1417
burrito-king-urbana,"40.1662720855,-88.2831286759",6883
burrito-king-urbana,"40.1554720747,-88.2690014088",5777
burrito-king-urbana,"40.1374720567,-88.1724779526",3900
burrito-king-urbana,"40.1212720405,-88.2831419331",4310
burrito-king-urbana,"40.1050720243,-88.1701868771",3804
burrito-king-urbana,"40.1410720603,-88.2030805179",3980
burrito-king-urbana,"40.0906720099,-88.240799961",3274
burrito-king-urbana,"40.1320720513,-88.231344941",2237
burrito-king-urbana,"40.1482720675,-88.243101947",4297
burrito-king-urbana,"40.1662720855,-88.2407305777",5090
burrito-king-urbana,"40.1194720387,-88.2054661415",1177
burrito-king-urbana,"40.1698720891,-88.2901943385",8093
burrito-king-urbana,"40.1356720549,-88.2030884701",3964
burrito-king-urbana,"40.0924720117,-88.2431512059",3293
burrito-king-urbana,"40.1338720531,-88.2101541",2903
burrito-king-urbana,"40.1482720675,-88.2690050287",5231
burrito-king-urbana,"40.1446720639,-88.2172034202",2382
burrito-king-urbana,"40.1356720549,-88.2902008608",5775
burrito-king-urbana,"40.0906720099,-88.1702150111",4987
burrito-king-urbana,"40.1374720567,-88.2030858196",4171
burrito-king-urbana,"40.1302720495,-88.1772001994",3737
burrito-king-urbana,"40.0924720117,-88.2596214631",4175
burrito-king-urbana,"40.1662720855,-88.212465179",4584
burrito-king-urbana,"40.1374720567,-88.2925549691",5856
burrito-king-urbana,"40.0816720009,-88.1961103114",3884
burrito-king-urbana,"40.1122720315,-88.2902053171",4651
burrito-king-urbana,"40.0834720027,-88.2290436411",3359
burrito-king-urbana,"40.1158720351,-88.191349093",1851
burrito-king-urbana,"40.1194720387,-88.2290044207",717
burrito-king-urbana,"40.1608720801,-88.2054066041",4799
burrito-king-urbana,"40.1194720387,-88.2242967648",500
burrito-king-urbana,"40.0978720171,-88.219615639",1610
burrito-king-urbana,"40.1338720531,-88.1913194874",3758
burrito-king-urbana,"40.1104720297,-88.2525493967",2464
burrito-king-urbana,"40.1158720351,-88.2266546426",435
burrito-king-urbana,"40.1464720657,-88.2148463796",2989
burrito-king-urbana,"40.1014720207,-88.2125516041",1663
burrito-king-urbana,"40.1374720567,-88.2101491735",4646
burrito-king-urbana,"40.1590720783,-88.1771467939",4898
burrito-king-urbana,"40.0816720009,-88.2031678733",3733
burrito-king-urbana,"40.1716720909,-88.2595707101",6537
burrito-king-urbana,"40.0996720189,-88.1701974297",5346
burrito-king-urbana,"40.1446720639,-88.2478145308",3803
burrito-king-urbana,"40.0978720171,-88.2784426538",4854
burrito-king-urbana,"40.1626720819,-88.2336679127",4796
burrito-king-urbana,"40.0870720063,-88.2972682319",6672
burrito-king-urbana,"40.1086720279,-88.2148954693",965
burrito-king-urbana,"40.1464720657,-88.297263092",6471
burrito-king-urbana,"40.0942720135,-88.2902087414",5893
burrito-king-urbana,"40.0834720027,-88.177286819",4958
burrito-king-urbana,"40.1194720387,-88.2902039465",5080
burrito-king-urbana,"40.1680720873,-88.2595730214",6260
burrito-king-urbana,"40.0996720189,-88.2031414294",2271
burrito-king-urbana,"40.1050720243,-88.3019733352",5887
burrito-king-urbana,"40.1356720549,-88.2219235816",1931
burrito-king-urbana,"40.1104720297,-88.2949126925",5198
burrito-king-urbana,"40.1014720207,-88.2196112194",1298
burrito-king-urbana,"40.1284720477,-88.165432837",5066
burrito-king-urbana,"40.0816720009,-88.2196355177",2893
burrito-king-urbana,"40.1212720405,-88.1889863239",2397
burrito-king-urbana,"40.1032720225,-88.1678371276",3954
burrito-king-urbana,"40.1536720729,-88.2619372754",5544
burrito-king-urbana,"40.1374720567,-88.2878460665",5964
burrito-king-urbana,"40.1248720441,-88.2454766356",2196
burrito-king-urbana,"40.1356720549,-88.1936709143",3524
burrito-king-urbana,"40.1608720801,-88.290196056",7076
burrito-king-urbana,"40.0960720153,-88.2219708669",1781
burrito-king-urbana,"40.1104720297,-88.2078325845",1166
burrito-king-urbana,"40.1554720747,-88.2171897532",3491
burrito-king-urbana,"40.0996720189,-88.2078477151",2033
burrito-king-urbana,"40.1176720369,-88.2031149617",1165
burrito-king-urbana,"40.1626720819,-88.2101146627",4286
burrito-king-urbana,"40.0852720045,-88.252568132",4850
burrito-king-urbana,"40.1284720477,-88.2831398139",4745
burrito-king-urbana,"40.1212720405,-88.2760802624",3868
burrito-king-urbana,"40.1248720441,-88.25724671",3003
burrito-king-urbana,"40.1662720855,-88.1747779806",6192
burrito-king-urbana,"40.1338720531,-88.2478233253",3062
burrito-king-urbana,"40.1680720873,-88.3019722438",7926
burrito-king-urbana,"40.1086720279,-88.2996198188",5480
burrito-king-urbana,"40.1446720639,-88.2383957275",3367
burrito-king-urbana,"40.1302720495,-88.2219300351",1412
burrito-king-urbana,"40.1464720657,-88.1983630372",3748
burrito-king-urbana,"40.1734720927,-88.2548581547",6377
burrito-king-urbana,"40.0978720171,-88.2078502361",2195
burrito-king-urbana,"40.1536720729,-88.2901974294",7461
burrito-king-urbana,"40.1302720495,-88.2007422182",2257
burrito-king-urbana,"40.0852720045,-88.1702255561",5133
burrito-king-urbana,"40.0906720099,-88.2949150892",6200
burrito-king-urbana,"40.1176720369,-88.2125300241",593
burrito-king-urbana,"40.1248720441,-88.2996189777",5894
burrito-king-urbana,"40.0978720171,-88.2525587673",3400
burrito-king-urbana,"40.1212720405,-88.2148791164",769
burrito-king-urbana,"40.1644720837,-88.2666414946",6675
