res_id,cell_center,walk_time
esquire-lounge-inc-champaign,"40.1140720333,-88.2007666162",2776
seven-saints-champaign,"40.1140720333,-88.2007666162",2776
seven-saints-champaign,"40.1662720855,-88.2831286759",5586
seven-saints-champaign,"40.1662720855,-88.2831286759",5586
seven-saints-champaign,"40.1554720747,-88.2690014088",4480
seven-saints-champaign,"40.1554720747,-88.2690014088",4480
seven-saints-champaign,"40.1374720567,-88.1724779526",5234
seven-saints-champaign,"40.1374720567,-88.1724779526",5234
seven-saints-champaign,"40.1212720405,-88.2831419331",2945
seven-saints-champaign,"40.1212720405,-88.2831419331",2945
seven-saints-champaign,"40.1050720243,-88.1701868771",5136
seven-saints-champaign,"40.1050720243,-88.1701868771",5136
seven-saints-champaign,"40.1410720603,-88.2030805179",5314
seven-saints-champaign,"40.1410720603,-88.2030805179",5314
seven-saints-champaign,"40.0906720099,-88.240799961",2334
seven-saints-champaign,"40.0906720099,-88.240799961",2334
seven-saints-champaign,"40.1320720513,-88.231344941",1666
seven-saints-champaign,"40.1320720513,-88.231344941",1666
seven-saints-champaign,"40.1482720675,-88.243101947",3136
seven-saints-champaign,"40.1482720675,-88.243101947",3136
seven-saints-champaign,"40.1662720855,-88.2407305777",4124
seven-saints-champaign,"40.1662720855,-88.2407305777",4124
seven-saints-champaign,"40.1194720387,-88.2054661415",2511
seven-saints-champaign,"40.1194720387,-88.2054661415",2511
seven-saints-champaign,"40.1698720891,-88.2901943385",6796
seven-saints-champaign,"40.1698720891,-88.2901943385",6796
seven-saints-champaign,"40.1356720549,-88.2030884701",5299
seven-saints-champaign,"40.1356720549,-88.2030884701",5299
seven-saints-champaign,"40.0924720117,-88.2431512059",2161
seven-saints-champaign,"40.0924720117,-88.2431512059",2161
seven-saints-champaign,"40.1338720531,-88.2101541",4238
seven-saints-champaign,"40.1338720531,-88.2101541",4238
seven-saints-champaign,"40.1482720675,-88.2690050287",3934
seven-saints-champaign,"40.1482720675,-88.2690050287",3934
seven-saints-champaign,"40.1446720639,-88.2172034202",3241
seven-saints-champaign,"40.1446720639,-88.2172034202",3241
seven-saints-champaign,"40.1356720549,-88.2902008608",4419
seven-saints-champaign,"40.1356720549,-88.2902008608",4419
seven-saints-champaign,"40.0906720099,-88.1702150111",6320
seven-saints-champaign,"40.0906720099,-88.1702150111",6320
seven-saints-champaign,"40.1374720567,-88.2030858196",5505
seven-saints-champaign,"40.1374720567,-88.2030858196",5505
seven-saints-champaign,"40.1302720495,-88.1772001994",5072
seven-saints-champaign,"40.1302720495,-88.1772001994",5072
seven-saints-champaign,"40.0924720117,-88.2596214631",2860
seven-saints-champaign,"40.0924720117,-88.2596214631",2860
seven-saints-champaign,"40.1662720855,-88.212465179",5443
seven-saints-champaign,"40.1662720855,-88.212465179",5443
seven-saints-champaign,"40.1374720567,-88.2925549691",4500
seven-saints-champaign,"40.1374720567,-88.2925549691",4500
seven-saints-champaign,"40.0816720009,-88.1961103114",5020
seven-saints-champaign,"40.0816720009,-88.1961103114",5020
seven-saints-champaign,"40.1122720315,-88.2902053171",3277
seven-saints-champaign,"40.1122720315,-88.2902053171",3277
seven-saints-champaign,"40.0834720027,-88.2290436411",3333
seven-saints-champaign,"40.0834720027,-88.2290436411",3333
seven-saints-champaign,"40.1158720351,-88.191349093",3185
seven-saints-champaign,"40.1158720351,-88.191349093",3185
seven-saints-champaign,"40.1194720387,-88.2290044207",1065
seven-saints-champaign,"40.1194720387,-88.2290044207",1065
seven-saints-champaign,"40.1608720801,-88.2054066041",5658
seven-saints-champaign,"40.1608720801,-88.2054066041",5658
seven-saints-champaign,"40.1194720387,-88.2242967648",1342
seven-saints-champaign,"40.1194720387,-88.2242967648",1342
seven-saints-champaign,"40.0978720171,-88.219615639",2668
seven-saints-champaign,"40.0978720171,-88.219615639",2668
seven-saints-champaign,"40.1338720531,-88.1913194874",5093
seven-saints-champaign,"40.1338720531,-88.1913194874",5093
seven-saints-champaign,"40.1104720297,-88.2525493967",1150
seven-saints-champaign,"40.1104720297,-88.2525493967",1150
seven-saints-champaign,"40.1158720351,-88.2266546426",1108
seven-saints-champaign,"40.1158720351,-88.2266546426",1108
seven-saints-champaign,"40.1464720657,-88.2148463796",3849
seven-saints-champaign,"40.1464720657,-88.2148463796",3849
seven-saints-champaign,"40.1014720207,-88.2125516041",2861
seven-saints-champaign,"40.1014720207,-88.2125516041",2861
seven-saints-champaign,"40.1374720567,-88.2101491735",5981
seven-saints-champaign,"40.1374720567,-88.2101491735",5981
seven-saints-champaign,"40.1590720783,-88.1771467939",6233
seven-saints-champaign,"40.1590720783,-88.1771467939",6233
seven-saints-champaign,"40.0816720009,-88.2031678733",4869
seven-saints-champaign,"40.0816720009,-88.2031678733",4869
seven-saints-champaign,"40.1716720909,-88.2595707101",5240
seven-saints-champaign,"40.1716720909,-88.2595707101",5240
seven-saints-champaign,"40.0996720189,-88.1701974297",6681
seven-saints-champaign,"40.0996720189,-88.1701974297",6681
seven-saints-champaign,"40.1446720639,-88.2478145308",2642
seven-saints-champaign,"40.1446720639,-88.2478145308",2642
seven-saints-champaign,"40.0978720171,-88.2784426538",3539
seven-saints-champaign,"40.0978720171,-88.2784426538",3539
seven-saints-champaign,"40.1626720819,-88.2336679127",3830
seven-saints-champaign,"40.1626720819,-88.2336679127",3830
seven-saints-champaign,"40.0870720063,-88.2972682319",5358
seven-saints-champaign,"40.0870720063,-88.2972682319",5358
seven-saints-champaign,"40.1086720279,-88.2148954693",2293
seven-saints-champaign,"40.1086720279,-88.2148954693",2293
seven-saints-champaign,"40.1464720657,-88.297263092",5174
seven-saints-champaign,"40.1464720657,-88.297263092",5174
seven-saints-champaign,"40.0942720135,-88.2902087414",4578
seven-saints-champaign,"40.0942720135,-88.2902087414",4578
seven-saints-champaign,"40.0834720027,-88.177286819",6152
seven-saints-champaign,"40.0834720027,-88.177286819",6152
seven-saints-champaign,"40.1194720387,-88.2902039465",3715
seven-saints-champaign,"40.1194720387,-88.2902039465",3715
seven-saints-champaign,"40.1680720873,-88.2595730214",4963
seven-saints-champaign,"40.1680720873,-88.2595730214",4963
seven-saints-champaign,"40.0996720189,-88.2031414294",3539
seven-saints-champaign,"40.0996720189,-88.2031414294",3539
seven-saints-champaign,"40.1050720243,-88.3019733352",4562
seven-saints-champaign,"40.1050720243,-88.3019733352",4562
seven-saints-champaign,"40.1356720549,-88.2219235816",2474
seven-saints-champaign,"40.1356720549,-88.2219235816",2474
seven-saints-champaign,"40.1104720297,-88.2949126925",3824
seven-saints-champaign,"40.1104720297,-88.2949126925",3824
seven-saints-champaign,"40.1014720207,-88.2196112194",2415
seven-saints-champaign,"40.1014720207,-88.2196112194",2415
seven-saints-champaign,"40.1284720477,-88.165432837",6400
seven-saints-champaign,"40.1284720477,-88.165432837",6400
seven-saints-champaign,"40.0816720009,-88.2196355177",4010
seven-saints-champaign,"40.0816720009,-88.2196355177",4010
seven-saints-champaign,"40.1212720405,-88.1889863239",3732
seven-saints-champaign,"40.1212720405,-88.1889863239",3732
seven-saints-champaign,"40.1032720225,-88.1678371276",5287
seven-saints-champaign,"40.1032720225,-88.1678371276",5287
seven-saints-champaign,"40.1536720729,-88.2619372754",4247
seven-saints-champaign,"40.1536720729,-88.2619372754",4247
seven-saints-champaign,"40.1374720567,-88.2878460665",4607
seven-saints-champaign,"40.1374720567,-88.2878460665",4607
seven-saints-champaign,"40.1248720441,-88.2454766356",880
seven-saints-champaign,"40.1248720441,-88.2454766356",880
seven-saints-champaign,"40.1356720549,-88.1936709143",4858
seven-saints-champaign,"40.1356720549,-88.1936709143",4858
seven-saints-champaign,"40.1608720801,-88.290196056",5779
seven-saints-champaign,"40.1608720801,-88.290196056",5779
seven-saints-champaign,"40.0960720153,-88.2219708669",2619
seven-saints-champaign,"40.0960720153,-88.2219708669",2619
seven-saints-champaign,"40.1104720297,-88.2078325845",2499
seven-saints-champaign,"40.1104720297,-88.2078325845",2499
seven-saints-champaign,"40.1554720747,-88.2171897532",4350
seven-saints-champaign,"40.1554720747,-88.2171897532",4350
seven-saints-champaign,"40.0996720189,-88.2078477151",3257
seven-saints-champaign,"40.0996720189,-88.2078477151",3257
seven-saints-champaign,"40.1176720369,-88.2031149617",2500
seven-saints-champaign,"40.1176720369,-88.2031149617",2500
seven-saints-champaign,"40.1626720819,-88.2101146627",5145
seven-saints-champaign,"40.1626720819,-88.2101146627",5145
seven-saints-champaign,"40.0852720045,-88.252568132",3535
seven-saints-champaign,"40.0852720045,-88.252568132",3535
seven-saints-champaign,"40.1284720477,-88.2831398139",3389
seven-saints-champaign,"40.1284720477,-88.2831398139",3389
seven-saints-champaign,"40.1212720405,-88.2760802624",2502
seven-saints-champaign,"40.1212720405,-88.2760802624",2502
seven-saints-champaign,"40.1248720441,-88.25724671",1637
seven-saints-champaign,"40.1248720441,-88.25724671",1637
seven-saints-champaign,"40.1662720855,-88.1747779806",7527
seven-saints-champaign,"40.1662720855,-88.1747779806",7527
seven-saints-champaign,"40.1338720531,-88.2478233253",1775
seven-saints-champaign,"40.1338720531,-88.2478233253",1775
seven-saints-champaign,"40.1680720873,-88.3019722438",6629
seven-saints-champaign,"40.1680720873,-88.3019722438",6629
seven-saints-champaign,"40.1086720279,-88.2996198188",4156
