distance,walk_time
43,52
44,60
54,35
60,252
61,36
63,41
66,79
67,70
68,51
86,73
97,36
98,64
99,134
101,131
103,140
104,83
109,151
113,86
114,115
119,148
122,163
131,126
132,146
133,187
136,186
138,100
139,82
140,106
144,160
147,139
150,275
151,117
152,303
153,451
156,146
160,188
163,156
164,207
166,288
170,108
175,221
181,143
185,333
186,308
193,181
197,173
198,344
201,202
203,161
204,159
206,213
207,179
208,229
209,251
211,177
212,247
213,216
216,728
217,258
218,250
220,313
221,229
224,161
226,211
230,249
231,308
234,166
236,262
237,202
238,205
239,277
240,275
241,289
242,177
243,682
244,319
246,227
248,238
250,308
252,272
253,189
254,259
255,258
259,288
261,206
262,351
263,255
265,812
268,210
271,232
272,1742
273,272
275,187
276,331
278,246
280,283
282,308
286,711
287,251
289,384
290,410
295,257
296,343
297,246
298,296
299,460
300,628
302,327
303,359
304,246
305,317
306,328
307,330
311,278
312,292
314,462
315,330
317,666
318,310
321,462
322,864
323,235
325,325
326,288
327,282
329,1420
330,238
331,367
332,387
333,995
335,304
336,350
337,312
338,239
339,440
340,254
342,453
346,234
347,749
349,324
350,474
351,370
353,394
354,507
355,451
356,493
358,486
360,296
361,439
362,356
363,327
364,487
365,297
367,293
368,346
369,404
371,404
372,360
373,437
375,311
379,271
380,334
381,334
384,346
385,465
386,381
387,337
388,397
389,380
390,613
391,352
392,324
394,463
395,480
396,400
397,504
398,359
399,503
400,297
401,296
402,349
403,337
404,447
405,404
407,368
408,411
409,409
410,336
411,414
412,525
413,374
414,472
415,419
416,371
417,593
418,459
419,471
420,385
421,412
422,390
424,505
425,387
426,444
427,364
428,325
429,332
430,298
431,534
434,819
435,327
436,436
437,672
438,349
441,401
442,442
443,368
445,456
446,441
447,377
448,612
449,385
451,441
452,602
453,1078
454,458
457,486
458,480
459,467
461,385
462,856
463,436
465,870
466,407
467,443
468,457
469,612
470,499
471,460
472,401
473,437
474,435
475,502
477,635
478,412
479,388
480,611
481,546
482,440
483,435
484,425
485,366
486,516
487,505
488,602
489,392
490,628
491,468
492,727
495,471
496,727
497,433
498,427
499,473
500,525
501,567
502,581
503,488
504,522
505,365
506,561
507,599
508,466
509,626
510,647
511,452
512,934
513,446
514,544
515,588
516,875
517,492
518,550
519,401
520,476
521,523
522,448
523,454
524,548
526,567
527,464
528,464
529,537
530,479
531,502
532,556
533,477
535,630
536,529
537,398
538,526
539,635
540,581
541,517
542,496
543,479
546,614
547,820
548,552
549,455
550,641
551,514
552,1078
554,742
555,701
557,524
558,609
559,643
560,499
561,528
562,596
564,543
565,603
566,438
567,504
570,606
571,581
572,542
573,561
574,600
575,575
576,542
577,505
578,559
579,454
580,544
581,623
582,529
583,453
585,497
586,481
587,528
589,484
590,607
591,588
592,517
593,602
594,708
595,574
596,604
597,617
598,638
599,636
600,554
601,532
602,929
604,652
605,604
606,606
607,674
608,582
609,680
610,582
611,642
612,453
613,556
614,637
616,686
617,629
618,657
619,781
620,584
622,672
623,501
624,607
625,527
626,787
627,557
628,753
629,746
630,646
631,673
632,571
633,716
634,634
635,630
636,517
638,492
639,714
640,628
641,630
642,630
643,612
645,599
646,1016
647,532
649,589
650,665
652,1071
653,741
654,593
655,684
656,1027
657,750
658,794
659,553
660,1180
661,469
662,542
663,656
664,633
665,1074
666,709
667,700
668,718
669,559
670,783
672,675
673,563
674,682
676,623
677,749
678,714
679,615
680,713
681,560
682,1717
683,711
684,611
685,697
686,763
687,696
688,614
689,569
690,749
691,868
692,571
693,591
694,741
695,1034
697,746
698,584
699,567
700,750
701,628
702,1076
703,635
704,761
705,677
706,575
707,779
709,673
710,668
711,706
712,719
713,812
714,1011
715,599
716,687
717,715
718,599
719,613
720,618
721,642
722,766
723,744
724,697
725,586
727,754
728,670
729,749
730,611
731,619
732,628
733,605
734,785
736,572
737,555
738,749
739,777
740,757
741,709
742,715
743,714
744,750
745,790
746,789
747,602
748,1100
749,750
750,2427
751,891
752,1442
754,759
755,693
756,1784
757,717
758,528
759,585
760,695
761,1112
762,788
763,762
764,896
765,693
766,732
767,1444
768,699
769,834
770,834
771,585
772,646
773,742
774,2270
775,898
776,681
777,705
778,669
779,636
781,915
782,853
783,935
784,982
785,839
786,855
787,824
788,862
789,1018
790,1005
791,969
792,626
793,746
794,746
795,728
796,1005
797,793
798,732
799,832
800,766
801,888
802,888
803,779
804,664
805,624
806,863
807,854
808,695
809,905
810,773
811,798
812,735
813,740
814,773
816,730
817,794
818,813
819,744
820,788
821,786
822,647
823,851
824,1550
825,677
826,686
827,813
828,906
829,839
830,856
831,717
832,874
833,1029
834,853
835,726
836,870
837,1412
838,670
839,661
840,752
841,859
842,681
844,1035
845,868
846,1146
847,843
848,814
849,835
850,834
851,920
852,1101
853,2079
854,1005
855,874
857,1006
858,618
859,849
860,868
861,822
862,1079
863,951
865,1178
866,957
867,757
868,828
869,721
870,669
871,893
872,909
873,892
874,950
875,783
876,717
877,772
879,963
880,925
881,997
882,869
883,1051
884,1201
885,884
886,1198
887,1879
888,969
889,821
890,818
891,811
892,884
893,862
894,1193
895,951
896,1007
897,851
898,937
899,762
900,853
901,946
902,1167
903,1689
904,926
905,1048
906,1495
907,1079
908,854
909,912
910,828
912,971
913,956
914,1011
915,756
916,997
917,758
918,991
919,886
920,802
921,909
922,1143
923,857
924,1689
925,951
926,802
927,860
928,2274
929,713
930,951
931,995
932,1014
933,841
934,837
935,1016
936,1038
937,924
938,933
939,844
940,945
941,1258
943,990
944,1855
945,1326
946,840
947,884
948,936
949,1033
950,1552
951,1352
952,1447
953,866
954,892
955,846
956,845
957,935
958,958
959,769
960,912
961,952
962,810
963,962
964,1310
965,1020
966,1061
967,950
968,806
969,976
970,811
971,1042
972,892
973,961
974,959
975,1044
976,1279
977,959
978,912
979,783
980,1101
981,780
982,1430
983,925
984,894
985,823
986,964
987,985
988,892
989,1285
990,880
991,840
992,866
993,1053
994,1039
995,1113
996,1090
997,1491
998,1039
999,1007
1000,974
1001,1010
1002,994
1003,870
1004,2034
1005,933
1006,980
1007,885
1008,959
1009,961
1011,913
1012,788
1013,1010
1014,1200
1015,1042
1016,861
1017,1170
1018,1145
1019,1039
1020,967
1021,875
1022,777
1023,1066
1024,2015
1025,868
1026,798
1027,1986
1028,1127
1029,856
1030,954
1031,1025
1032,1594
1033,1049
1034,974
1035,1071
1036,1203
1037,933
1038,1029
1039,822
1040,1984
1041,1548
1042,1032
1043,1005
1044,1017
1045,868
1046,1275
1047,1109
1048,1116
1049,2121
1050,1266
1051,1230
1052,915
1053,1221
1054,889
1055,766
1056,1076
1057,1131
1058,808
1059,1017
1060,1253
1061,880
1062,1758
1063,1207
1064,2085
1065,1043
1066,1241
1067,1016
1068,1044
1069,1065
1070,1164
1071,1000
1072,824
1073,1179
1074,1201
1075,1161
1076,1004
1077,1010
1078,1078
1080,1370
1081,954
1082,1004
1083,1501
1085,945
1086,1005
1087,996
1088,1105
1089,1737
1090,1102
1091,1104
1092,1090
1093,1047
1094,1113
1095,1047
1096,1051
1097,1041
1098,1047
1099,849
1100,1158
1101,1759
1102,1011
1103,1005
1104,1197
1105,1078
1106,1152
1107,1131
1108,1359
1109,986
1110,1329
1111,1000
1112,1337
1113,945
1114,1060
1115,991
1116,1028
1117,977
1118,1187
1119,1036
1120,966
1121,863
1122,1055
1123,1103
1124,1149
1125,1879
1126,1047
1127,1088
1128,1257
1129,1184
1130,1048
1131,1025
1132,976
1133,1203
1134,927
1135,1016
1136,991
1137,1859
1138,1114
1139,1260
1140,1142
1141,1348
1142,1156
1143,1171
1144,1130
1145,987
1146,904
1147,1256
1148,1114
1149,1637
1150,996
1151,1016
1152,1331
1153,1223
1154,1230
1155,1029
1156,995
1157,1049
1158,1208
1159,970
1160,1035
1161,1100
1162,1130
1163,1211
1164,1064
1165,1385
1166,1304
1167,1016
1168,1139
1169,1149
1170,1123
1171,1117
1172,1075
1173,1195
1174,2099
1175,1052
1176,1164
1177,1427
1178,1329
1179,1199
1180,1318
1181,1052
1182,909
1183,1147
1184,982
1185,1085
1186,1529
1187,1292
1188,1181
1189,1254
1190,1297
1191,971
1192,1197
1193,1105
1194,1152
1195,1199
1196,1285
1197,978
1198,1111
1199,1161
1200,1920
1201,1316
1202,1209
1203,1961
1204,1210
1205,1052
1206,1017
1207,1307
1208,1122
1209,1243
1210,1091
1211,960
1212,1177
1213,1810
1214,1152
1215,1130
1216,1306
1217,2082
1219,1290
1220,2198
1221,1966
1222,1141
1223,1325
1224,1154
1225,1156
1226,1275
1227,1454
1228,984
1229,1306
1230,1292
1231,1258
1232,1089
1233,1132
1234,1270
1235,1259
1236,1123
1237,1279
1238,1390
1239,1257
1240,1527
1241,1041
1242,1326
1243,1169
1244,1766
1245,1226
1246,1197
1247,1242
1248,1113
1249,1193
1250,1221
1251,1279
1252,1059
1253,1365
1254,2283
1255,1086
1256,959
1257,1201
1258,1251
1259,1082
1260,1280
1261,1070
1262,1261
1263,1040
1264,1267
1265,1472
1266,1485
1267,1146
1268,1218
1269,1267
1270,1115
1272,1499
1273,1125
1274,1088
1275,1311
1276,1472
1277,1234
1278,1356
1279,1404
1280,1265
1281,1333
1282,1350
1283,1216
1284,1044
1285,1764
1286,1249
1287,1584
1288,1241
1289,1250
1290,1062
1292,1269
1293,1140
1294,1189
1295,1009
1296,1318
1297,1340
1298,1354
1299,1280
1300,1368
1301,1140
1302,1144
1303,1788
1304,1068
1305,1389
1306,1276
1307,1316
1308,2481
1309,1188
1310,1210
1311,1883
1312,1242
1313,1301
1314,1590
1315,1675
1316,1132
1317,1061
1318,1377
1319,1417
1320,1386
1321,1184
1322,1340
1323,1007
1324,1301
1325,1516
1326,1382
1327,1319
1328,1251
1329,1363
1330,1162
1331,1951
1332,1022
1333,1274
1334,1136
1335,1399
1336,1208
1337,1622
1338,1324
1339,1390
1340,1348
1341,1210
1342,1404
1343,1283
1344,1586
1345,1298
1346,1453
1347,1164
1348,1341
1349,1161
1350,1582
1351,1437
1352,1355
1353,1558
1354,1577
1355,1163
1356,1279
1357,1229
1358,1268
1359,1294
1360,1120
1361,1302
1362,1257
1364,1197
1365,1521
1366,1640
1367,1361
1368,1293
1369,1318
1370,1021
1371,1283
1372,1870
1373,1478
1374,1532
1375,1127
1376,1392
1377,1458
1378,1415
1379,1590
1380,1380
1381,1368
1382,1235
1383,1554
1384,1387
1385,1079
1386,1355
1387,1466
1388,1422
1389,1541
1390,1275
1391,1547
1392,1487
1393,1375
1394,1231
1395,1390
1396,1304
1397,2006
1398,1361
1399,1541
1400,1099
1401,1414
1402,1129
1403,1237
1404,1777
1405,1408
1406,2003
1407,1425
1408,1290
1409,1293
1410,1274
1411,1522
1412,1473
1413,1571
1414,1509
1415,1564
1416,1300
1417,1293
1419,1252
1420,1387
1421,1975
1422,2076
1423,1382
1424,1144
1425,1427
1426,1421
1427,2561
1428,1434
1429,1418
1430,1777
1431,1350
1432,1321
1433,2069
1434,1268
1435,1628
1436,1394
1437,1870
1438,1472
1439,1399
1440,1123
1441,1355
1443,1374
1444,1442
1445,1233
1446,1472
1447,1456
