res_id,cell_center,walk_time
seaboat-champaign-2,"40.0870720063,-88.2078653571",3354
vinnys-east-coast-pizzeria-champaign,"40.0870720063,-88.2078653571",3354
vinnys-east-coast-pizzeria-champaign,"40.1698720891,-88.2501495665",6777
vinnys-east-coast-pizzeria-champaign,"40.1698720891,-88.2501495665",6777
vinnys-east-coast-pizzeria-champaign,"40.1284720477,-88.2972646512",5392
vinnys-east-coast-pizzeria-champaign,"40.1284720477,-88.2972646512",5392
vinnys-east-coast-pizzeria-champaign,"40.0924720117,-88.2172693732",2327
vinnys-east-coast-pizzeria-champaign,"40.0924720117,-88.2172693732",2327
vinnys-east-coast-pizzeria-champaign,"40.1230720423,-88.2384163049",2389
vinnys-east-coast-pizzeria-champaign,"40.1230720423,-88.2384163049",2389
vinnys-east-coast-pizzeria-champaign,"40.1194720387,-88.1866355182",5433
vinnys-east-coast-pizzeria-champaign,"40.1194720387,-88.1866355182",5433
vinnys-east-coast-pizzeria-champaign,"40.1104720297,-88.2290142324",2134
vinnys-east-coast-pizzeria-champaign,"40.1104720297,-88.2290142324",2134
vinnys-east-coast-pizzeria-champaign,"40.1104720297,-88.1678228052",5948
vinnys-east-coast-pizzeria-champaign,"40.1104720297,-88.1678228052",5948
vinnys-east-coast-pizzeria-champaign,"40.0906720099,-88.2290358026",1772
vinnys-east-coast-pizzeria-champaign,"40.0906720099,-88.2290358026",1772
vinnys-east-coast-pizzeria-champaign,"40.0834720027,-88.2572746349",1673
vinnys-east-coast-pizzeria-champaign,"40.0834720027,-88.2572746349",1673
vinnys-east-coast-pizzeria-champaign,"40.0852720045,-88.2878578073",3390
vinnys-east-coast-pizzeria-champaign,"40.0852720045,-88.2878578073",3390
vinnys-east-coast-pizzeria-champaign,"40.0924720117,-88.2737388264",2019
vinnys-east-coast-pizzeria-champaign,"40.0924720117,-88.2737388264",2019
vinnys-east-coast-pizzeria-champaign,"40.0834720027,-88.2502168865",1339
vinnys-east-coast-pizzeria-champaign,"40.0834720027,-88.2502168865",1339
vinnys-east-coast-pizzeria-champaign,"40.1284720477,-88.2360570231",2999
vinnys-east-coast-pizzeria-champaign,"40.1284720477,-88.2360570231",2999
vinnys-east-coast-pizzeria-champaign,"40.0816720009,-88.2878586159",3923
vinnys-east-coast-pizzeria-champaign,"40.0816720009,-88.2878586159",3923
vinnys-east-coast-pizzeria-champaign,"40.1590720783,-88.2642891981",5492
vinnys-east-coast-pizzeria-champaign,"40.1590720783,-88.2642891981",5492
vinnys-east-coast-pizzeria-champaign,"40.1608720801,-88.2501565926",5744
vinnys-east-coast-pizzeria-champaign,"40.1608720801,-88.2501565926",5744
vinnys-east-coast-pizzeria-champaign,"40.1734720927,-88.2784151524",7381
vinnys-east-coast-pizzeria-champaign,"40.1734720927,-88.2784151524",7381
vinnys-east-coast-pizzeria-champaign,"40.1608720801,-88.2878407934",6857
vinnys-east-coast-pizzeria-champaign,"40.1608720801,-88.2878407934",6857
vinnys-east-coast-pizzeria-champaign,"40.1302720495,-88.2360552464",3151
vinnys-east-coast-pizzeria-champaign,"40.1302720495,-88.2360552464",3151
vinnys-east-coast-pizzeria-champaign,"40.1680720873,-88.2218848237",7302
vinnys-east-coast-pizzeria-champaign,"40.1680720873,-88.2218848237",7302
vinnys-east-coast-pizzeria-champaign,"40.1572720765,-88.1842155471",7752
vinnys-east-coast-pizzeria-champaign,"40.1572720765,-88.1842155471",7752
vinnys-east-coast-pizzeria-champaign,"40.1428720621,-88.2525252737",4329
vinnys-east-coast-pizzeria-champaign,"40.1428720621,-88.2525252737",4329
vinnys-east-coast-pizzeria-champaign,"40.1698720891,-88.2713497399",7254
vinnys-east-coast-pizzeria-champaign,"40.1698720891,-88.2713497399",7254
vinnys-east-coast-pizzeria-champaign,"40.0852720045,-88.2643313571",1950
vinnys-east-coast-pizzeria-champaign,"40.0852720045,-88.2643313571",1950
vinnys-east-coast-pizzeria-champaign,"40.1032720225,-88.2219622766",2070
vinnys-east-coast-pizzeria-champaign,"40.1032720225,-88.2219622766",2070
vinnys-east-coast-pizzeria-champaign,"40.1698720891,-88.1865490463",9048
vinnys-east-coast-pizzeria-champaign,"40.1698720891,-88.1865490463",9048
vinnys-east-coast-pizzeria-champaign,"40.0834720027,-88.2102229785",3511
vinnys-east-coast-pizzeria-champaign,"40.0834720027,-88.2102229785",3511
vinnys-east-coast-pizzeria-champaign,"40.1338720531,-88.2548863051",3227
vinnys-east-coast-pizzeria-champaign,"40.1338720531,-88.2548863051",3227
vinnys-east-coast-pizzeria-champaign,"40.1410720603,-88.257235767",4062
vinnys-east-coast-pizzeria-champaign,"40.1410720603,-88.257235767",4062
vinnys-east-coast-pizzeria-champaign,"40.1266720459,-88.2337047225",3054
vinnys-east-coast-pizzeria-champaign,"40.1266720459,-88.2337047225",3054
vinnys-east-coast-pizzeria-champaign,"40.1464720657,-88.264296407",4575
vinnys-east-coast-pizzeria-champaign,"40.1464720657,-88.264296407",4575
vinnys-east-coast-pizzeria-champaign,"40.1176720369,-88.2172375553",3357
vinnys-east-coast-pizzeria-champaign,"40.1176720369,-88.2172375553",3357
vinnys-east-coast-pizzeria-champaign,"40.1662720855,-88.2972613753",7639
vinnys-east-coast-pizzeria-champaign,"40.1662720855,-88.2972613753",7639
vinnys-east-coast-pizzeria-champaign,"40.1320720513,-88.2501790549",3316
vinnys-east-coast-pizzeria-champaign,"40.1320720513,-88.2501790549",3316
vinnys-east-coast-pizzeria-champaign,"40.1428720621,-88.2642984659",4465
vinnys-east-coast-pizzeria-champaign,"40.1428720621,-88.2642984659",4465
vinnys-east-coast-pizzeria-champaign,"40.1500720693,-88.2478101317",4642
vinnys-east-coast-pizzeria-champaign,"40.1500720693,-88.2478101317",4642
vinnys-east-coast-pizzeria-champaign,"40.1392720585,-88.2336918466",4434
vinnys-east-coast-pizzeria-champaign,"40.1392720585,-88.2336918466",4434
vinnys-east-coast-pizzeria-champaign,"40.1716720909,-88.2289474252",6872
vinnys-east-coast-pizzeria-champaign,"40.1716720909,-88.2289474252",6872
vinnys-east-coast-pizzeria-champaign,"40.1086720279,-88.1701798404",5794
vinnys-east-coast-pizzeria-champaign,"40.1086720279,-88.1701798404",5794
vinnys-east-coast-pizzeria-champaign,"40.1716720909,-88.1818346794",8858
vinnys-east-coast-pizzeria-champaign,"40.1716720909,-88.1818346794",8858
vinnys-east-coast-pizzeria-champaign,"40.1122720315,-88.1866478535",4914
vinnys-east-coast-pizzeria-champaign,"40.1122720315,-88.1866478535",4914
vinnys-east-coast-pizzeria-champaign,"40.1518720711,-88.2690032189",5476
vinnys-east-coast-pizzeria-champaign,"40.1518720711,-88.2690032189",5476
vinnys-east-coast-pizzeria-champaign,"40.1140720333,-88.2690222054",2447
vinnys-east-coast-pizzeria-champaign,"40.1140720333,-88.2690222054",2447
vinnys-east-coast-pizzeria-champaign,"40.1068720261,-88.2619656421",1440
vinnys-east-coast-pizzeria-champaign,"40.1068720261,-88.2619656421",1440
vinnys-east-coast-pizzeria-champaign,"40.1608720801,-88.2148276543",6735
vinnys-east-coast-pizzeria-champaign,"40.1608720801,-88.2148276543",6735
vinnys-east-coast-pizzeria-champaign,"40.0978720171,-88.2125563973",2246
vinnys-east-coast-pizzeria-champaign,"40.0978720171,-88.2125563973",2246
vinnys-east-coast-pizzeria-champaign,"40.1734720927,-88.2265897575",7016
vinnys-east-coast-pizzeria-champaign,"40.1734720927,-88.2265897575",7016
vinnys-east-coast-pizzeria-champaign,"40.1302720495,-88.2972644953",5459
vinnys-east-coast-pizzeria-champaign,"40.1302720495,-88.2972644953",5459
vinnys-east-coast-pizzeria-champaign,"40.1104720297,-88.2925591761",3521
vinnys-east-coast-pizzeria-champaign,"40.1104720297,-88.2925591761",3521
vinnys-east-coast-pizzeria-champaign,"40.1104720297,-88.1866509366",5115
vinnys-east-coast-pizzeria-champaign,"40.1104720297,-88.1866509366",5115
vinnys-east-coast-pizzeria-champaign,"40.1752720945,-88.2737029718",7522
vinnys-east-coast-pizzeria-champaign,"40.1752720945,-88.2737029718",7522
vinnys-east-coast-pizzeria-champaign,"40.1392720585,-88.2548824697",4161
vinnys-east-coast-pizzeria-champaign,"40.1392720585,-88.2548824697",4161
vinnys-east-coast-pizzeria-champaign,"40.0924720117,-88.1819759649",4452
vinnys-east-coast-pizzeria-champaign,"40.0924720117,-88.1819759649",4452
vinnys-east-coast-pizzeria-champaign,"40.1050720243,-88.2855000279",2809
vinnys-east-coast-pizzeria-champaign,"40.1050720243,-88.2855000279",2809
vinnys-east-coast-pizzeria-champaign,"40.0834720027,-88.2196333098",2900
vinnys-east-coast-pizzeria-champaign,"40.0834720027,-88.2196333098",2900
vinnys-east-coast-pizzeria-champaign,"40.1068720261,-88.2007774533",3629
