res_id,cell_center,walk_time
steak-n-shake-champaign-2,"40.1356720549,-88.1889621364",6685
steak-n-shake-champaign-2,"40.1716720909,-88.2807714457",3790
steak-n-shake-champaign-2,"40.1572720765,-88.2595799529",1419
steak-n-shake-champaign-2,"40.1230720423,-88.2054609693",4516
steak-n-shake-champaign-2,"40.1032720225,-88.1866632664",7019
steak-n-shake-champaign-2,"40.1032720225,-88.2172557419",5086
steak-n-shake-champaign-2,"40.0978720171,-88.1725540272",7991
steak-n-shake-champaign-2,"40.1680720873,-88.1959741878",6154
steak-n-shake-champaign-2,"40.1374720567,-88.2054402709",7143
steak-n-shake-champaign-2,"40.0906720099,-88.2243301393",5762
steak-n-shake-champaign-2,"40.1104720297,-88.2996197254",4969
steak-n-shake-champaign-2,"40.1572720765,-88.2007015108",6414
steak-n-shake-champaign-2,"40.1482720675,-88.254876075",824
steak-n-shake-champaign-2,"40.1230720423,-88.2619558304",1797
steak-n-shake-champaign-2,"40.1338720531,-88.2878468772",3432
steak-n-shake-champaign-2,"40.1158720351,-88.2431305657",2730
steak-n-shake-champaign-2,"40.1158720351,-88.2572527856",2131
steak-n-shake-champaign-2,"40.1464720657,-88.2195559061",4445
steak-n-shake-champaign-2,"40.1680720873,-88.191263163",6442
steak-n-shake-champaign-2,"40.1392720585,-88.2925546885",3768
steak-n-shake-champaign-2,"40.0816720009,-88.2337506415",5985
steak-n-shake-champaign-2,"40.1104720297,-88.2172466503",4647
steak-n-shake-champaign-2,"40.1284720477,-88.2949105116",3588
steak-n-shake-champaign-2,"40.1554720747,-88.1795085491",7556
steak-n-shake-champaign-2,"40.1716720909,-88.2171692388",4855
steak-n-shake-champaign-2,"40.1500720693,-88.2431003557",1560
steak-n-shake-champaign-2,"40.1392720585,-88.1866015731",6369
steak-n-shake-champaign-2,"40.1194720387,-88.247835044",2255
steak-n-shake-champaign-2,"40.1194720387,-88.2737271511",2763
steak-n-shake-champaign-2,"40.0888720081,-88.2831514597",5816
steak-n-shake-champaign-2,"40.1392720585,-88.2831366338",2467
steak-n-shake-champaign-2,"40.1464720657,-88.2007178004",5767
steak-n-shake-champaign-2,"40.0996720189,-88.2454980005",3838
steak-n-shake-champaign-2,"40.1428720621,-88.2713623812",1643
steak-n-shake-champaign-2,"40.1482720675,-88.2171988653",4775
steak-n-shake-champaign-2,"40.1752720945,-88.3019721189",5068
steak-n-shake-champaign-2,"40.1752720945,-88.181828244",7375
steak-n-shake-champaign-2,"40.1500720693,-88.2501650198",1306
steak-n-shake-champaign-2,"40.1644720837,-88.210112196",5769
steak-n-shake-champaign-2,"40.1500720693,-88.2548747958",1323
steak-n-shake-champaign-2,"40.1014720207,-88.2431432702",4114
steak-n-shake-champaign-2,"40.1122720315,-88.1913550109",6033
steak-n-shake-champaign-2,"40.1248720441,-88.1913342935",5390
steak-n-shake-champaign-2,"40.1032720225,-88.1960763358",6405
steak-n-shake-champaign-2,"40.0996720189,-88.2219665721",5128
steak-n-shake-champaign-2,"40.1518720711,-88.2007096567",5983
steak-n-shake-champaign-2,"40.1518720711,-88.1842250038",6982
steak-n-shake-champaign-2,"40.1608720801,-88.2383802798",2752
steak-n-shake-champaign-2,"40.1320720513,-88.1866139207",6265
steak-n-shake-champaign-2,"40.1230720423,-88.2242925896",3245
steak-n-shake-champaign-2,"40.1518720711,-88.2054195576",5502
steak-n-shake-champaign-2,"40.1482720675,-88.2242633422",4752
steak-n-shake-champaign-2,"40.1446720639,-88.2077846169",6914
steak-n-shake-champaign-2,"40.1500720693,-88.2195514756",4720
steak-n-shake-champaign-2,"40.1302720495,-88.2501804577",1406
steak-n-shake-champaign-2,"40.1428720621,-88.1654036518",7350
steak-n-shake-champaign-2,"40.1644720837,-88.2148229709",5765
steak-n-shake-champaign-2,"40.1518720711,-88.2901977727",3810
steak-n-shake-champaign-2,"40.1626720819,-88.2666424626",2784
steak-n-shake-champaign-2,"40.0834720027,-88.2596272178",4859
steak-n-shake-champaign-2,"40.1140720333,-88.2219493852",4069
steak-n-shake-champaign-2,"40.1482720675,-88.2383922958",1747
steak-n-shake-champaign-2,"40.1608720801,-88.2525118552",1670
steak-n-shake-champaign-2,"40.0834720027,-88.2384539724",5532
steak-n-shake-champaign-2,"40.1338720531,-88.2643036114",1326
steak-n-shake-champaign-2,"40.1338720531,-88.2831382241",2934
steak-n-shake-champaign-2,"40.1302720495,-88.224284237",3703
steak-n-shake-champaign-2,"40.1410720603,-88.205435094",6837
steak-n-shake-champaign-2,"40.1428720621,-88.1889500361",6207
steak-n-shake-champaign-2,"40.1734720927,-88.2171669584",4868
steak-n-shake-champaign-2,"40.0816720009,-88.1984628321",7737
steak-n-shake-champaign-2,"40.1284720477,-88.2807856744",2708
steak-n-shake-champaign-2,"40.1176720369,-88.2878505236",3600
steak-n-shake-champaign-2,"40.0924720117,-88.1678586016",8483
steak-n-shake-champaign-2,"40.1338720531,-88.2313430393",2841
steak-n-shake-champaign-2,"40.1230720423,-88.1748595861",8584
steak-n-shake-champaign-2,"40.1698720891,-88.217171519",4854
steak-n-shake-champaign-2,"40.0888720081,-88.2196266847",6215
steak-n-shake-champaign-2,"40.1410720603,-88.1889530616",6214
steak-n-shake-champaign-2,"40.0924720117,-88.2102106915",6337
steak-n-shake-champaign-2,"40.1320720513,-88.2195736199",3609
steak-n-shake-champaign-2,"40.0978720171,-88.2431464449",4152
steak-n-shake-champaign-2,"40.1590720783,-88.2218955961",5472
steak-n-shake-champaign-2,"40.0852720045,-88.1772834912",8752
steak-n-shake-champaign-2,"40.1590720783,-88.1936331947",7141
steak-n-shake-champaign-2,"40.1716720909,-88.2077466896",5429
steak-n-shake-champaign-2,"40.1482720675,-88.1865861324",6688
steak-n-shake-champaign-2,"40.1536720729,-88.1889318775",7104
steak-n-shake-champaign-2,"40.1662720855,-88.257218727",2140
steak-n-shake-champaign-2,"40.1482720675,-88.2407471214",1749
steak-n-shake-champaign-2,"40.1716720909,-88.2242361507",4424
steak-n-shake-champaign-2,"40.1680720873,-88.2807726326",3312
steak-n-shake-champaign-2,"40.0978720171,-88.2878549762",5379
steak-n-shake-champaign-2,"40.1014720207,-88.2949137822",5262
steak-n-shake-champaign-2,"40.1446720639,-88.2219128218",4016
steak-n-shake-champaign-2,"40.1698720891,-88.1841934715",6878
steak-n-shake-champaign-2,"40.1248720441,-88.1936883084",5255
steak-n-shake-champaign-2,"40.1122720315,-88.1819406961",6555
steak-n-shake-champaign-2,"40.1536720729,-88.22425707",2899
steak-n-shake-champaign-2,"40.1122720315,-88.207830062",4936
