res_id,name,address,mobile_url,cuisines,review_count,rating
black-dog-smoke-and-ale-house-urbana,Black Dog Smoke & Ale House,"201 N Broadway Ave,Urbana, IL 61801",http://m.yelp.com/biz/black-dog-smoke-and-ale-house-urbana,"[Barbeque,bbq]",423,4.5
maize-mexican-grill-champaign,Maize Mexican Grill,"60 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/maize-mexican-grill-champaign,"[Mexican,mexican]",215,4.5
sakanaya-restaurant-champaign,Sakanaya Restaurant,"403 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/sakanaya-restaurant-champaign,"[Japanese,japanese,Sushi Bars,sushi]",74,4.5
golden-harbor-authentic-chinese-cuisine-champaign,Golden Harbor Authentic Chinese Cuisine,"505 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/golden-harbor-authentic-chinese-cuisine-champaign,"[Chinese,chinese]",157,4.5
huaraches-moroleon-urbana,Huaraches Moroleon,"805 Philo Rd,Urbana, IL 61801",http://m.yelp.com/biz/huaraches-moroleon-urbana,"[Mexican,mexican]",48,4.5
bangkok-thai-and-pho-911-champaign,Bangkok Thai and Pho 911,"410 E Green St,Unit 3,Champaign, IL 61820",http://m.yelp.com/biz/bangkok-thai-and-pho-911-champaign,"[Thai,thai]",59,4.5
cravings-champaign-2,Cravings,"603 S Wright St,Champaign, IL 61820",http://m.yelp.com/biz/cravings-champaign-2,"[Chinese,chinese,Asian Fusion,asianfusion,Malaysian,malaysian]",87,4
bacaro-champaign,Bacaro,"113 N Walnut St,Champaign, IL 61820",http://m.yelp.com/biz/bacaro-champaign,"[American (New),newamerican,Italian,italian,Lounges,lounges]",100,4
world-harvest-foods-champaign,World Harvest Foods,"519 E University Ave,Champaign, IL 61820",http://m.yelp.com/biz/world-harvest-foods-champaign,"[Ethnic Food,ethnicmarkets,Delis,delis]",40,4.5
escobars-champaign,Escobar's,"6 E Columbia Ave,Champaign, IL 61820",http://m.yelp.com/biz/escobars-champaign,"[American (New),newamerican,Latin American,latin,Mexican,mexican]",106,4
courier-cafe-urbana,Courier Cafe,"111 N Race St,Urbana, IL 61801",http://m.yelp.com/biz/courier-cafe-urbana,"[American (Traditional),tradamerican]",180,4
cheese-and-crackers-champaign,Cheese and Crackers,"1715 W Kirby,Champaign, IL 61821",http://m.yelp.com/biz/cheese-and-crackers-champaign,"[Chocolatiers & Shops,chocolate,Delis,delis,Seafood Markets,seafoodmarkets]",31,4
thara-thai-champaign,Thara Thai,"912 1/2 W Bloomington Rd,Champaign, IL 61821",http://m.yelp.com/biz/thara-thai-champaign,"[Thai,thai]",112,4
