res_id,name,address,mobile_url,cuisines,review_count,rating,latitude,longitude,health_index
cactus-grill-champaign,Cactus Grill,"1405 S Neil St,Ste C,Champaign, IL 61820",http://m.yelp.com/biz/cactus-grill-champaign,"Tex-Mex,tex-mex,Mexican,mexican",20,3.5,40.0996476,-88.2447937,1
la-bamba-champaign-4,La Bamba,"1905 Glen Park Dr,Champaign, IL 61821",http://m.yelp.com/biz/la-bamba-champaign-4,"Mexican,mexican",12,3.5,40.119051,-88.278305,1
la-bamba-champaign-4,La Bamba,"1905 Glen Park Dr,Champaign, IL 61821",http://m.yelp.com/biz/la-bamba-champaign-4,"Mexican,mexican",12,3.5,40.119051,-88.278305,1
tasty-fish-chicken-and-grill-champaign,Tasty Fish Chicken & Grill,"705 N Neil St,Champaign, IL 61820",http://m.yelp.com/biz/tasty-fish-chicken-and-grill-champaign,"Fish & Chips,fishnchips,American (Traditional),tradamerican",1,5,40.1221402,-88.2435604,1
windy-city-express-urbana,Windy City Express,"410 N Race St,Urbana, IL 61801",http://m.yelp.com/biz/windy-city-express-urbana,"Hot Dogs,hotdog,Burgers,burgers",15,3.5,40.1161796,-88.2086371,1
seaboat-champaign-2,Seaboat,"403 W Kirby Ave,Champaign, IL 61820",http://m.yelp.com/biz/seaboat-champaign-2,"Southern,southern,Soul Food,soulfood",35,3.5,40.0977581,-88.2487949,0.9892
tang-dynasty-urbana-2,Tang Dynasty,"140 Lincoln Sq Mall,Urbana, IL 61801",http://m.yelp.com/biz/tang-dynasty-urbana-2,"Chinese,chinese",3,5,40.111242,-88.2072358,0.9882
culvers-champaign,Culver's,"903 W Marketview Dr,Champaign, IL 61822",http://m.yelp.com/biz/culvers-champaign,"Burgers,burgers,Sandwiches,sandwiches,Ice Cream & Frozen Yogurt,icecream",14,3.5,40.137831,-88.259739,0.9857
home-of-gourmet-chinese-and-thai-restaurant-champaign,Home of Gourmet Chinese & Thai Restaurant,"604 E Daniel St,Champaign, IL 61820",http://m.yelp.com/biz/home-of-gourmet-chinese-and-thai-restaurant-champaign,"Chinese,chinese",28,3.5,40.108116,-88.230005,0.9842
bo-bo-china-champaign,Bo Bo China,"404 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/bo-bo-china-champaign,"Chinese,chinese",8,2.5,40.1104696,-88.2331177,0.9743
torticas-grill-champaign,Torticas Grill,"408 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/torticas-grill-champaign,"Mexican,mexican",6,3,40.1104308,-88.2326799,0.9638
wingin-out-champaign,Wingin Out,"301 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/wingin-out-champaign,"Chicken Wings,chicken_wings,American (New),newamerican,Fast Food,hotdogs",10,2,40.1099707,-88.2351176,0.9578
manolos-pizza-and-empanadas-urbana,Manolo's Pizza & Empanadas,"1115 W Oregon St,Urbana, IL 61803",http://m.yelp.com/biz/manolos-pizza-and-empanadas-urbana,"Pizza,pizza",55,3.5,40.1069795,-88.2222656,0.9444
silver-mine-subs-champaign,Silver Mine Subs,"612 E Daniel St,Champaign, IL 61820",http://m.yelp.com/biz/silver-mine-subs-champaign,"Sandwiches,sandwiches",17,3.5,40.108174,-88.229693,0.9444
china-king-champaign,China King,"2145 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/china-king-champaign,"Chinese,chinese",7,3.5,40.0876251,-88.2479789,0.928
taffies-restaurant-champaign,Taffies Restaurant,"301 S Mattis Ave,Champaign, IL 61821",http://m.yelp.com/biz/taffies-restaurant-champaign,"Restaurants,restaurants",14,3,40.114467,-88.2774183,0.9133
don-juan-cocina-mexicana-and-cantina-urbana,Don Juan Cocina Mexicana & Cantina,"1106 W University Ave,Urbana, IL 61801",http://m.yelp.com/biz/don-juan-cocina-mexicana-and-cantina-urbana,"Mexican,mexican",8,3,40.1166989,-88.223116,0.9076
rosatis-pizza-urbana-2,Rosati's Pizza,"701 S Gregory St,Urbana, IL 61801",http://m.yelp.com/biz/rosatis-pizza-urbana-2,"Pizza,pizza",21,3,40.1065482,-88.2217353,0.9074
taco-motorizado-champaign,Taco Motorizado,"Bradley and Prospect,Champaign, IL 61820",http://m.yelp.com/biz/taco-motorizado-champaign,"Street Vendors,streetvendors,Mexican,mexican",11,4.5,40.1272657,-88.2579647,0.9032
the-empanadas-house-urbana,The Empanadas House,"218-298 S Mathews Ave,Urbana, IL 61801",http://m.yelp.com/biz/the-empanadas-house-urbana,"Ethnic Food,ethnicmarkets,Argentine,argentine",4,4.5,40.1112959,-88.2255823,0.9
mas-amigos-urbana,Mas Amigos,"1106 W University Ave,Urbana, IL 61801",http://m.yelp.com/biz/mas-amigos-urbana,"Mexican,mexican",16,2.5,40.1166989,-88.223116,0.8933
ambar-india-champaign,Ambar India,"605 S Wright St,Champaign, IL 61820",http://m.yelp.com/biz/ambar-india-champaign,"Indian,indpak",22,3.5,40.1112319,-88.2289019,0.8909
my-thai-champaign,My Thai,"2312 W Springfield Ave,Champaign, IL 61821",http://m.yelp.com/biz/my-thai-champaign,"Thai,thai,Sushi Bars,sushi",43,4,40.112723,-88.289695,0.8908
mandarin-wok-champaign,Mandarin Wok,"403 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/mandarin-wok-champaign,"Chinese,chinese",40,3.5,40.1100319,-88.2330779,0.8888
